aubergine,amaranth,asparagus,legumes,beans,chickpeas,lentils,peas,broccoli,cabbage,kohlrabi,cauliflower,celery,endive,fiddleheads,frisee,fennel,greens,kale,spinach,anise,basil,caraway,cilantro,coriander,chamomile,dill,lavender,marjoram,oregano,parsley,rosemary,sage,thyme,lettuce,arugula,mushrooms,nettles,okra,onions,chives,garlic,leek,onion,shallot,peppers,habanero,paprika,radicchio,rhubarb,turnip,radish,courgette,pumpkin,potato,quandong,sunchokes,zucchini
0.36202,0.1577,0.29023,-0.3227,-0.49038,0.17856,-0.066205,0.22239,0.37778,0.1566,0.43488,0.63579,0.23719,0.67827,-0.053743,0.38624,0.14215,-0.2322,0.27973,0.041441,0.10683,0.32478,0.20433,0.42161,0.17021,0.34046,0.66356,0.43724,-0.0050437,0.085489,0.434,0.53367,0.44376,0.48051,0.2225,0.17863,-0.01764,0.090533,0.11597,0.12042,0.55546,0.022871,0.25062,-0.26112,0.62122,-0.062353,-0.045927,0.36486,0.045261,0.45023,0.28876,0.50082,0.29684,0.31237,-0.0062231,-0.45295,-0.0025858,0.26787
0.52978,0.09094,-0.041529,-0.6783,-0.17044,-0.037537,-0.17975,-0.26775,0.078766,-0.32566,0.10285,-0.1326,-0.14032,0.025014,0.14213,0.17291,0.12341,0.20645,-0.26138,0.16977,0.4124,0.24856,0.0586,0.25296,0.31056,-0.08288,0.3271,-0.17518,0.16986,0.12577,0.19012,0.27246,-0.085197,-0.055,0.0086308,0.37624,-0.045548,-0.22268,0.5516,0.43792,0.41209,-0.066622,-0.17502,0.099612,0.22174,0.24737,0.27162,0.34941,0.11191,0.16483,-0.35692,0.021116,0.013415,-0.32722,-0.069946,0.0062565,-0.24001,-0.01569
0.14639,-0.024169,0.52534,0.13008,0.32327,0.55427,0.48395,0.59178,0.65799,0.60432,0.16987,0.62303,0.27579,0.43897,-0.2849,0.45067,-0.13984,0.27479,0.037251,0.37575,-0.21667,0.30497,-0.24988,0.30396,0.31032,0.055493,0.3219,0.10649,-0.081146,-0.22087,-0.11242,0.033641,-0.21894,-0.12329,0.74385,0.46655,-0.20619,0.27324,0.32655,0.069996,0.071619,-0.13902,-0.10703,0.14072,-0.21758,0.48034,-0.037354,0.20284,0.17693,0.47251,0.16072,-0.028913,0.23468,0.42635,0.19381,-0.26745,-0.21211,0.13511
-0.028839,0.1124,0.097022,0.1521,0.15018,-0.015687,0.22014,-0.0037549,0.25517,0.034594,0.39668,0.097394,-0.28892,0.32836,-0.23299,0.10274,0.050835,-0.18931,0.38079,-0.014956,0.40969,0.019466,0.38025,0.033319,0.044945,0.78712,0.061452,0.45723,0.4937,0.13541,-0.1884,-0.24822,-0.12289,0.075489,-0.28042,0.18792,-0.10794,-0.64575,0.22262,0.042681,0.21437,-0.2024,0.14059,-0.33151,0.026001,0.44768,0.24081,0.0207,0.56909,-0.36432,0.20258,0.25733,0.44436,-0.015148,0.15489,0.17835,0.36771,0.3565
-0.26683,-0.679,0.052991,-0.24856,-0.29106,0.13363,0.48308,-0.098273,-0.11571,-0.33801,-0.1186,0.2031,-0.016295,-0.090867,-0.35912,-0.42777,0.019785,-0.086733,-0.22967,-0.55482,0.068011,0.32092,0.12914,-0.25449,-0.028936,-0.13122,-0.21346,-0.082457,0.49568,0.086583,-0.018258,0.43125,0.33864,0.13768,-0.65979,-0.1636,-0.60442,-0.19648,-0.30248,-0.51721,-0.35148,-0.21858,-0.067068,-0.37602,-0.72916,-0.44668,-0.13962,0.11778,-0.57082,-0.23441,-0.9627,-0.75806,-0.43053,-0.23293,-0.18467,0.22639,-0.58765,-0.22939
0.083693,-0.57231,0.55814,-0.69956,-0.34581,-0.95832,-0.57437,-0.21627,0.16623,-0.37629,-0.26472,-0.12073,-0.50094,-0.34584,-0.10551,0.39151,-0.072057,0.03007,-0.69791,0.035695,-0.41328,-0.19377,-0.77448,-0.45316,-0.39944,-0.88116,-0.39234,0.020374,-0.35703,-0.3995,-0.39889,-0.37531,0.091059,-0.22743,-0.38787,0.15119,0.66668,-0.16871,-0.25049,-0.10141,-0.1746,0.059538,-0.005199,0.32303,0.073119,0.080095,-0.16383,-0.24615,-0.18292,-0.11836,-0.56056,-0.49286,0.1028,-0.31842,-0.084922,0.46866,0.13508,0.061426
-0.13142,-0.081587,-0.83928,-0.37896,-0.22488,-0.070328,-0.0073764,0.096061,-0.38042,0.15665,-0.057138,-0.10902,-0.53088,-0.63335,-0.14532,-0.57133,-0.16035,-0.5782,-0.036485,-0.28019,-0.30766,-0.24905,-0.072894,-0.25692,0.015261,0.159,0.12145,-0.19447,-0.27155,-0.30856,-0.59935,-0.052324,0.060363,-0.26126,-0.38557,-0.67758,-1.0948,-0.53801,-0.58559,-0.66295,-0.30724,-0.60478,0.27035,-0.41522,-0.35934,-0.38898,-0.33697,-0.068251,-0.55434,-0.037288,-0.21357,-0.019613,-0.13731,0.18677,0.40799,0.69149,-0.096658,-0.24105
0.40814,7.93E-05,0.44769,0.24242,0.098751,0.44977,0.22996,0.45209,0.15888,0.10534,0.15301,0.33937,-0.67309,-0.22081,0.12995,-0.17878,-0.20949,0.24653,0.094636,0.16616,-0.65344,-0.012001,-0.01629,-0.55975,-0.39256,0.11808,-0.22242,0.62902,-0.23734,-0.52798,-0.55505,-0.19368,0.21221,-0.21004,-0.3066,-0.073177,0.07197,-0.42205,-0.012128,-0.42316,-0.40226,-0.15696,0.10933,-0.24742,-0.09986,-0.043375,-0.61951,-0.33368,0.38633,0.53612,0.078314,-0.1729,0.0043654,0.66092,0.032778,1.0129,0.11422,-0.11017
-0.08093,-0.37773,-0.10142,-0.25707,-0.5173,-0.060994,0.3444,-0.12266,-0.31533,-0.24639,-0.0086899,0.22998,-0.0027986,0.061779,-0.76133,0.34023,-0.163,-0.14162,-0.089586,-0.21518,-0.0025346,-0.082522,0.059119,0.36507,0.55674,0.092913,0.089696,0.50209,0.016384,-0.15834,-0.080412,-0.032161,-0.46402,-0.073786,0.15137,0.027429,-0.74668,-0.21083,0.062526,-0.44814,0.067775,-0.21736,-0.19903,-0.14064,-0.082755,-0.1732,-0.31219,0.24383,0.025473,-0.07119,0.41471,0.20158,-0.36588,0.18704,-0.14752,0.34605,-0.31866,-0.51229
-0.70387,0.1656,-0.069628,0.12439,-0.40541,-0.4507,-0.45837,-0.16246,-0.014529,-0.067374,0.30648,-0.25812,-0.38113,0.26499,0.53295,0.019301,-0.22238,0.026107,-0.047901,-0.36091,-0.34729,0.18724,-0.28,-0.085266,-0.27158,-0.090301,-0.014456,-0.11177,0.37287,0.10908,0.12804,-0.068964,0.076954,-0.054419,-0.20268,0.095695,-0.6516,0.62147,-0.19776,-0.33156,0.16032,0.1059,-0.29493,-0.31037,0.16274,-0.021344,-0.069924,-0.60312,0.1539,-0.11966,0.35708,0.59508,-0.43249,0.19054,-0.28176,-0.32232,-0.2979,-0.04038
0.7532,0.34051,0.33917,-0.37942,0.53061,-0.041494,0.20935,0.30001,0.65918,0.59721,-0.10072,0.54379,1.1068,0.41216,-0.41855,-0.42258,0.50916,-0.030447,0.49724,0.33085,0.512,0.81515,0.32265,0.38897,0.57207,0.50238,0.4085,0.77441,0.37679,-0.0017079,0.44041,0.8047,0.56467,0.26131,0.31316,-0.084345,0.40875,-0.058724,0.28374,0.91164,0.3007,0.76356,0.99973,1.2829,0.38195,0.71755,-0.043654,0.54137,-0.083591,0.54034,0.35796,0.42293,0.39997,0.63955,0.62627,0.84957,-0.18201,0.83256
-0.30017,0.44446,0.063772,0.72581,-0.079635,-0.10551,-0.16256,0.041048,0.17637,0.17294,0.073722,0.20385,-0.48269,0.072466,0.17924,-0.066515,0.20741,0.38184,0.0087025,0.3026,0.25382,-0.56739,-0.17271,0.016464,-0.11193,-0.14165,0.064725,-0.23661,-0.014777,-0.24365,0.1225,-0.46533,-0.24404,-0.24496,0.17768,0.45103,0.5698,0.29163,-0.37617,0.078125,0.34445,-0.21807,0.090213,0.16915,0.23245,-0.25296,-0.22142,0.04895,0.30378,-0.20272,0.20802,0.30865,-0.61476,-0.031522,0.41629,0.026563,-0.0091275,-0.25489
0.1109,0.43175,0.049281,-0.27013,0.11942,0.10132,-0.18106,0.12328,0.43526,-0.10744,0.31176,0.18218,-0.1298,-0.061479,0.42198,-0.37002,0.10141,-0.38259,0.24337,-0.10931,-0.0013925,-0.62527,0.26761,-0.84475,-0.37313,0.78212,-0.34168,0.23162,-0.077047,-0.35794,-0.55934,0.25402,0.19962,-0.095506,-0.50955,-0.27844,-0.069804,-0.26468,0.035407,-0.49342,-0.54001,-0.40237,0.44642,-0.16503,-0.4644,-0.61853,-0.45406,-0.33529,-0.24682,0.19166,0.30355,0.20764,0.099059,0.54988,0.3273,-0.66474,-0.089593,0.23119
